time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.27641828842e-07,7.74229864721e-08,10.0060854214,7.84204978306e-05,0.000200943771513,0.0,-2.02166087488e-05,7.31890746401e-06,0.202832500748,0.003800851978,0.00932325278157,0.0,467.6774126574655,468.4028363851963,468.5986466606904,468.8939337702447
0.12000000000000001,-8.17185582245e-06,3.67544897703e-06,10.021843003,0.000784937309842,0.00100745438908,0.0,-0.000317344242045,0.000165285576854,0.322393304851,0.0242420725194,0.0206161022603,0.0,442.4479480478114,443.37644799780156,442.48982761854313,444.1690293723741
0.18,-5.15006282481e-05,3.44254693578e-05,10.0432299548,0.00231560450036,0.00195364893788,0.0,-0.00123543807355,0.0010050090111,0.390483423134,0.0279352146572,0.00369080077736,0.0,428.42336466813316,426.9820305651606,425.69372348328324,426.0097266227239
0.23999999999999996,-0.000174242986812,0.000157258885167,10.0728543278,0.00375446604072,0.00284829080348,0.0,-0.00292888701954,0.0032743851802,0.596909546816,0.0145894021729,0.0310928786335,0.0,469.4030843413636,471.5243449967977,469.34632887817077,468.30959645445853
0.3,-0.000423948988725,0.000444227330694,10.1139428896,0.00513627701877,0.00524490396264,0.0,-0.00564031086476,0.00642294176531,0.772605084635,0.0360664577786,0.0534688271854,0.0,459.9668199091741,461.73591799252875,459.6748284956741,461.37341113076207
0.36000000000000004,-0.000896128937458,0.000956722528047,10.1655628487,0.00748837896044,0.00833624805552,0.0,-0.0104550358307,0.0109157307953,0.947927186695,0.0448306155621,0.0473155145723,0.0,462.15860001621354,461.67500590931957,459.3666455014323,460.06171103790865
0.4200000000000001,-0.00168741949695,0.0017598325296,10.2232813374,0.00963653855028,0.0112097475578,0.0,-0.0161820679749,0.0160883469152,0.975994233356,0.0035538695609,0.0490193681116,0.0,413.9678836881014,414.1193470019152,416.5497252561988,412.92534625143463
0.48000000000000015,-0.00292009632842,0.002941086855,10.2864448418,0.00930038716742,0.0142131641294,0.0,-0.0252322643391,0.0232952398203,1.12931250806,-0.0390186865576,0.052054607555,0.0,454.66945668230153,454.91404947229046,455.9131178350121,452.49926120638554
0.5400000000000001,-0.00478333942108,0.00454770928952,10.3601110184,0.00690157490097,0.0178380265831,0.0,-0.0372696296296,0.0299813332894,1.32601535652,-0.0419755870947,0.0733490140303,0.0,466.55282045327107,468.2145678435421,468.49832597000955,468.2676591806555
0.6000000000000002,-0.00742192427349,0.00648576364377,10.443587437,0.00469905283846,0.0219146408885,0.0,-0.0511349935518,0.0343697477275,1.45636717296,-0.0278418662729,0.0540284874462,0.0,448.21764973263555,446.6482079827278,448.42186557374004,449.5677627722401
0.6600000000000003,-0.0109178676017,0.00863152654,10.5323126621,0.00324554532987,0.0250519939484,0.0,-0.0656946741727,0.0370095838573,1.50107574625,-0.0178281315643,0.0485631324886,0.0,421.54376899647497,421.07320383115143,420.6329929254258,421.49908386155676
0.7200000000000003,-0.0153779982198,0.0109139050709,10.6249486001,0.00237977695781,0.0284652737294,0.0,-0.0832931743252,0.0389733808102,1.5866649483,-0.00837680399042,0.0697805160357,0.0,434.124888550136,435.9036198348868,433.8264230249774,434.6193169352061
0.7800000000000004,-0.0210385359301,0.0133040012011,10.7251547413,0.00174542830758,0.032634804527,0.0,-0.105851842358,0.0406327492075,1.75328412102,-0.0153715414604,0.0689094906384,0.0,459.7967355083848,459.73122365686675,460.6944395914063,460.14121004818406
0.8400000000000004,-0.0281494987061,0.0157777025844,10.8354161201,0.000838264663791,0.037188991785,0.0,-0.13166169514,0.0417209145267,1.92180890044,-0.0146198283039,0.0871199201584,0.0,460.9149152708099,462.355966636988,460.7596137024145,460.8191459966845
0.9000000000000005,-0.0369127714178,0.0182960872733,10.9556848875,6.28298642927,0.0423726220923,0.0,-0.161017667503,0.0421188659736,2.08683838698,-0.0232357379424,0.0849016689796,0.0,460.6351527699942,460.4655878431477,461.32929368212166,460.64859761904677
0.9600000000000005,-0.0473589906765,0.0208148804575,11.081348696,6.2816117985,0.0472134032925,0.0,-0.187634555912,0.0417170922579,2.10190507614,-0.0222679430443,0.070517535634,0.0,413.35383688912134,412.0900663952167,414.57712608469063,414.66206766092307
1.0200000000000005,-0.0596015233042,0.0232811706109,11.2102935295,6.28080509783,0.0514185230706,0.0,-0.220868494607,0.0403887736662,2.19605501257,4.96338714401e-05,0.06920707262,0.0,439.71134023215984,439.6065745082299,438.6459071070122,440.49531863806453
1.0800000000000005,-0.0737800806483,0.0256628597184,11.3421200849,6.28137437715,0.0558649927997,0.0,-0.252128139974,0.0390300835225,2.19813534135,0.0237027253036,0.0824441504266,0.0,408.92939781041656,410.11153913065846,409.1182256905617,411.2187126809407
1.1400000000000006,-0.0897573952657,0.0279814558953,11.4712693903,6.2824913568,0.0616445401827,0.0,-0.280861762273,0.038351856333,2.10698709995,0.00576226114131,0.115155680436,0.0,375.2831801005055,378.4540831434608,377.734957758582,376.00095012278797
1.2000000000000006,-0.108015388147,0.0302683601696,11.6023243294,6.28262342822,0.0690601445694,0.0,-0.328512444349,0.0379060929993,2.26115925855,-0.00609269733643,0.136616534424,0.0,458.2215283140979,459.937359741405,458.3798176777778,457.43676737098184
1.2600000000000007,-0.129252466312,0.0325290286676,11.7419096376,6.28217989306,0.0771498860911,0.0,-0.38023947584,0.0374068145804,2.39134741874,-0.0101270723103,0.130994795153,0.0,451.3651757031681,450.9277362649543,452.8151100699615,452.49057338634526
