time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-0.011097936076,0.00960233166233,1.01900232488,0.853728628086,0.343633544491,0.0,-0.602442666774,0.50984839321,0.431967227994,10.8074158518,-10.7883929504,0.0
0.12000000000000001,-0.0448153973173,0.0601113254123,1.05164728205,1.18473670662,5.3435218563,0.0,-0.555857072931,1.18888673259,0.611151034422,19.2670258386,-19.2655510324,0.0
0.18,-0.0713315121308,0.155843573856,1.06421900027,5.27385210918,2.2236228201,0.0,-1.19772777667,1.82369696702,-0.257558161493,15.0464583583,-24.3514117553,0.0
0.23999999999999996,-0.177349877621,0.276406705804,1.03040496618,1.82774789958,1.81219152504,0.0,-2.35194820633,2.09440422545,-0.924110055919,21.9366276443,-26.8770328496,0.0
0.3,-0.36010360024,0.392676853404,0.956162611437,5.60575672347,0.396090394719,0.0,-3.68474320827,1.66297891914,-1.58331041793,25.6467932727,-28.0060246964,0.0
0.36000000000000004,-0.586017453525,0.483199144779,0.877625842009,1.48691030505,5.02779138705,0.0,-3.51196805846,1.72587092486,-1.09984314933,27.4739908618,-28.4846694895,0.0
0.4200000000000001,-0.744267095893,0.603147779553,0.79500955849,0.332612041217,3.32088647206,0.0,-1.86881326352,2.36249568403,-1.87920209676,22.9353784477,-28.6826246433,0.0
0.48000000000000015,-0.861429352154,0.722659654055,0.646771751116,3.64553946571,1.59913475575,0.0,-2.3606104519,1.66268783671,-2.58576597578,26.2139141575,-28.7597722509,0.0
0.5400000000000001,-1.04168342729,0.811771594625,0.473292299113,5.65074457837,6.15617567229,0.0,-3.47188609059,1.0254120463,-3.11431042308,27.7206659607,-28.7897563883,0.0
0.6000000000000002,-1.23359977617,0.859622240738,0.299646404018,1.12052066109,4.4283818401,0.0,-2.65982207263,0.801771673221,-2.84828857823,28.3709358061,-28.8098131009,0.0
0.6600000000000003,-1.35998032856,0.887119241966,0.112902206106,2.84314302954,2.69962344862,0.0,-1.81738054855,-0.045618040782,-3.13459537669,28.6500339543,-28.817325147,0.0
0.7200000000000003,-1.49634410104,0.880023246167,0.0,4.56697652181,0.970418122912,0.0,-2.91313671328,-0.109301885194,-3.06154851762,28.7611914437,-28.8246588255,0.0
